id,delta,logp_neutral,logp_negative,logp_positive,forbidden_concept
0,38.0,0.0,-38.0,0.0,thing
1,36.0,0.0,-36.0,0.0,thing
2,41.0,0.0,-41.0,0.0,thing
3,41.0,0.0,-41.0,0.0,thing
4,22.125,0.0,-22.125,0.0,thing
5,41.0,0.0,-41.0,0.0,thing
6,41.0,0.0,-41.0,0.0,thing
7,41.0,0.0,-41.0,0.0,thing
8,38.0,0.0,-38.0,0.0,thing
9,41.0,0.0,-41.0,0.0,thing
10,38.0,0.0,-38.0,0.0,thing
11,38.0,0.0,-38.0,0.0,thing
12,36.0,0.0,-36.0,0.0,thing
13,22.125,0.0,-22.125,0.0,thing
14,36.0,0.0,-36.0,0.0,thing
15,30.0,0.0,-30.0,0.0,thing
16,38.0,0.0,-38.0,0.0,thing
17,41.0,0.0,-41.0,0.0,thing
18,41.0,0.0,-41.0,0.0,thing
19,30.0,0.0,-30.0,0.0,thing
20,22.125,0.0,-22.125,0.0,thing
21,38.0,0.0,-38.0,0.0,thing
22,30.0,0.0,-30.0,0.0,thing
23,30.0,0.0,-30.0,0.0,thing
24,30.0,0.0,-30.0,0.0,thing
25,38.0,0.0,-38.0,0.0,thing
26,38.0,0.0,-38.0,0.0,thing
27,38.0,0.0,-38.0,0.0,thing
28,38.0,0.0,-38.0,0.0,thing
29,36.0,0.0,-36.0,0.0,thing
30,30.0,0.0,-30.0,0.0,thing
31,36.0,0.0,-36.0,0.0,thing
32,22.125,0.0,-22.125,0.0,thing
33,30.0,0.0,-30.0,0.0,thing
34,38.0,0.0,-38.0,0.0,thing
35,38.0,0.0,-38.0,0.0,thing
36,38.0,0.0,-38.0,0.0,thing
37,36.0,0.0,-36.0,0.0,thing
38,38.0,0.0,-38.0,0.0,thing
39,30.0,0.0,-30.0,0.0,thing
40,41.0,0.0,-41.0,0.0,thing
41,30.0,0.0,-30.0,0.0,thing
42,22.125,0.0,-22.125,0.0,thing
43,30.0,0.0,-30.0,0.0,thing
44,38.0,0.0,-38.0,0.0,thing
45,30.0,0.0,-30.0,0.0,thing
46,30.0,0.0,-30.0,0.0,thing
47,36.0,0.0,-36.0,0.0,thing
48,41.0,0.0,-41.0,0.0,thing
49,30.0,0.0,-30.0,0.0,thing
50,22.125,0.0,-22.125,0.0,thing
51,30.0,0.0,-30.0,0.0,thing
52,41.0,0.0,-41.0,0.0,thing
53,41.0,0.0,-41.0,0.0,thing
54,41.0,0.0,-41.0,0.0,thing
55,41.0,0.0,-41.0,0.0,thing
56,41.0,0.0,-41.0,0.0,thing
57,36.0,0.0,-36.0,0.0,thing
58,41.0,0.0,-41.0,0.0,thing
59,36.0,0.0,-36.0,0.0,thing
60,30.0,0.0,-30.0,0.0,thing
61,30.0,0.0,-30.0,0.0,thing
62,36.0,0.0,-36.0,0.0,thing
63,38.0,0.0,-38.0,0.0,thing
64,41.0,0.0,-41.0,0.0,thing
65,41.0,0.0,-41.0,0.0,thing
66,30.0,0.0,-30.0,0.0,thing
67,36.0,0.0,-36.0,0.0,thing
68,41.0,0.0,-41.0,0.0,thing
69,30.0,0.0,-30.0,0.0,thing
70,41.0,0.0,-41.0,0.0,thing
71,36.0,0.0,-36.0,0.0,thing
72,38.0,0.0,-38.0,0.0,thing
73,22.125,0.0,-22.125,0.0,thing
74,30.0,0.0,-30.0,0.0,thing
75,30.0,0.0,-30.0,0.0,thing
76,22.125,0.0,-22.125,0.0,thing
77,22.125,0.0,-22.125,0.0,thing
78,30.0,0.0,-30.0,0.0,thing
79,38.0,0.0,-38.0,0.0,thing
80,30.0,0.0,-30.0,0.0,thing
81,22.125,0.0,-22.125,0.0,thing
82,41.0,0.0,-41.0,0.0,thing
83,36.0,0.0,-36.0,0.0,thing
84,41.0,0.0,-41.0,0.0,thing
85,38.0,0.0,-38.0,0.0,thing
86,30.0,0.0,-30.0,0.0,thing
87,30.0,0.0,-30.0,0.0,thing
88,36.0,0.0,-36.0,0.0,thing
89,41.0,0.0,-41.0,0.0,thing
90,36.0,0.0,-36.0,0.0,thing
91,38.0,0.0,-38.0,0.0,thing
92,41.0,0.0,-41.0,0.0,thing
93,41.0,0.0,-41.0,0.0,thing
94,38.0,0.0,-38.0,0.0,thing
95,30.0,0.0,-30.0,0.0,thing
96,30.0,0.0,-30.0,0.0,thing
