stimulus_id,n_constraints,delta_logit,l10h7_activation,l10h7_zscore
0,1,3.700828749312665,0.0022377357818186283,0.051868818958261426
0,2,5.22950516728438,-0.0036003543063998222,0.02229666536994702
0,3,5.33526527294578,-0.009800252504646778,-0.009108184329181552
0,4,5.618078236499386,-0.016827236860990524,-0.04470254096095683
0,5,5.561443647299225,-0.020563138648867607,-0.06362630880155777
0,6,5.641553512333107,-0.024055782705545425,-0.08131788342830498
0,7,5.866050206726414,-0.027826504781842232,-0.10041802931405044
1,1,7.423680247443159,-0.012569748796522617,-0.003570251447615303
1,2,7.2360311046938595,-0.014229177497327328,-0.01196942504445558
1,3,7.06581708981525,-0.021377667784690857,-0.04815140191985668
1,4,7.258330992551205,-0.02558746561408043,-0.06945923078861
1,5,6.79272785605507,-0.02710404060781002,-0.0771353524796382
1,6,6.820213880934647,-0.02838813327252865,-0.08363476833292001
1,7,6.93582636833388,-0.028831839561462402,-0.08588058109062219
2,1,3.20607066939945,-0.004805459640920162,-0.013866939609003795
2,2,4.7381927459835085,-0.006680750288069248,-0.02378513311885165
2,3,6.7060995047317915,-0.010179855860769749,-0.04229149437767338
2,4,6.326810292439798,-0.011387958191335201,-0.04868100669805011
2,5,5.88002589647755,-0.01158225443214178,-0.049708616854099934
2,6,5.227350304752453,-0.014313091523945332,-0.06415169572379607
2,7,4.927698502019269,-0.016745340079069138,-0.07701557464861211
3,1,11.058739117252347,-0.013496915809810162,-0.02464765911764151
3,2,10.250255559839012,-0.018843229860067368,-0.05193048677628871
3,3,9.777982652780546,-0.028661655262112617,-0.1020349897301317
3,4,9.680813927713634,-0.03165271133184433,-0.11729867729145538
3,5,9.043381182778127,-0.03176339343190193,-0.11786350020166646
3,6,8.651189309607023,-0.03150755539536476,-0.1165579306085307
3,7,8.384594264160707,-0.03096979483962059,-0.11381367944294855
4,1,9.609837782114276,-0.013444746844470501,-0.04720772845591022
4,2,11.420826542897448,-0.02136705070734024,-0.08782593415027176
4,3,10.560804591741515,-0.028441132977604866,-0.12409524844647464
4,4,10.723699947570855,-0.03134344518184662,-0.1389756059967144
4,5,10.535190385463213,-0.0327179953455925,-0.14602302077083343
4,6,10.254079174342314,-0.03361750766634941,-0.1506348833175803
4,7,10.539646306323464,-0.03413275256752968,-0.1532765799428761
5,1,7.575556308729703,-0.010181906633079052,-0.0572369118317193
5,2,7.279517496836638,-0.013732030987739563,-0.075694097114839
5,3,6.937410959070447,-0.018342358991503716,-0.09966330767776523
5,4,7.284220010715573,-0.021069131791591644,-0.11383986764252364
5,5,7.201558785223409,-0.021243181079626083,-0.11474475424274357
5,6,7.181787535414895,-0.022675082087516785,-0.12218924338437867
5,7,7.275885948194316,-0.023854440078139305,-0.12832075506494042
6,1,6.388234538453902,-0.01894143968820572,-0.06265248102969083
6,2,7.104860332352493,-0.022067904472351074,-0.07912758134932785
6,3,6.742649578225413,-0.024566736072301865,-0.09229532963161725
6,4,6.0292469179382575,-0.029401477426290512,-0.11777229941243454
6,5,5.463688818136179,-0.030838580802083015,-0.1253452048889127
6,6,5.320906886178994,-0.03266524523496628,-0.1349709265457428
6,7,5.016367906470498,-0.03411057963967323,-0.14258720594019605
7,1,6.563703565866843,-0.004951749928295612,-0.03017243617178578
7,2,9.381592052092232,-0.019595898687839508,-0.10677297361648035
7,3,9.399464063568649,-0.022946065291762352,-0.12429700772754532
7,4,9.628621701237666,-0.025242513045668602,-0.13630925473836847
7,5,9.572457820458588,-0.029531067237257957,-0.15874180178022695
7,6,9.418260041722649,-0.03153686597943306,-0.16923372344664483
7,7,9.261833260544236,-0.034773483872413635,-0.18616380754892822
8,1,8.05425387402315,-0.013854197226464748,-0.0044737378422484856
8,2,7.316852232330536,-0.020593883469700813,-0.038357715613805535
8,3,7.048868989288532,-0.0263613760471344,-0.0673539601329786
8,4,6.567102324980531,-0.026015201583504677,-0.06561355747810989
8,5,6.155004574312342,-0.027600685134530067,-0.07358462429951118
8,6,6.205635572038193,-0.02829006314277649,-0.07705049322346368
8,7,5.893274984476693,-0.029069609940052032,-0.0809696884793678
9,1,7.495880700429867,-0.012390315532684326,-0.02386896793924229
9,2,5.185249753600265,-0.016981061547994614,-0.047578825619250364
9,3,5.213302431670295,-0.021309588104486465,-0.06993439664763813
9,4,4.952734155870468,-0.023146765306591988,-0.07942287844332145
9,5,5.285094286675606,-0.025775890797376633,-0.09300154104009593
9,6,5.543409239871258,-0.02722661755979061,-0.10049411957846438
9,7,5.614036393579563,-0.031999897211790085,-0.1251467099936927
10,1,8.87473703650001,-0.01197417825460434,0.0015217420341033356
10,2,7.48787159253675,-0.01399865373969078,-0.008647143787224875
10,3,6.509935939598935,-0.015241146087646484,-0.01488814937771543
10,4,6.784780364458817,-0.01774493046104908,-0.027464590832263186
10,5,6.590435899242542,-0.020609665662050247,-0.04185407856966434
10,6,6.621681285023568,-0.02441002056002617,-0.06094315883896308
10,7,6.615149836172547,-0.02612980827689171,-0.06958160620894033
11,1,3.027353324624063,-0.020007941871881485,-0.056107347878107595
11,2,2.115970641125377,-0.024959798902273178,-0.08196309313883116
11,3,2.3186037912011495,-0.029071658849716187,-0.10343285745075617
11,4,2.4346422978081583,-0.032451093196868896,-0.12107831713770688
11,5,2.2943507475000544,-0.035781051963567734,-0.13846544384028614
11,6,2.511725445275769,-0.03648320212960243,-0.14213166758550844
11,7,2.4537345107156074,-0.036633171141147614,-0.14291471938521033
12,1,2.182255924264248,-0.01586967520415783,-0.05675092061917711
12,2,1.0849295894650186,-0.022054476663470268,-0.08960168605372938
12,3,2.045499208648893,-0.023352129384875298,-0.09649420886902507
12,4,2.335623288436755,-0.02445574663579464,-0.10235610624406338
