id,delta,logp_neutral,logp_negative,logp_positive,forbidden_concept
0,13.25,0.0,-13.25,0.0,thing
1,14.875,0.0,-14.875,0.0,thing
2,11.5625,0.0,-11.5625,0.0,thing
3,11.5625,0.0,-11.5625,0.0,thing
4,13.5,0.0,-13.5,0.0,thing
5,11.5625,0.0,-11.5625,0.0,thing
6,11.5625,0.0,-11.5625,0.0,thing
7,11.5625,0.0,-11.5625,0.0,thing
8,13.25,0.0,-13.25,0.0,thing
9,11.5625,0.0,-11.5625,0.0,thing
10,13.25,0.0,-13.25,0.0,thing
11,13.25,0.0,-13.25,0.0,thing
12,14.875,0.0,-14.875,0.0,thing
13,13.5,0.0,-13.5,0.0,thing
14,14.875,0.0,-14.875,0.0,thing
15,13.3125,0.0,-13.3125,0.0,thing
16,13.25,0.0,-13.25,0.0,thing
17,11.5625,0.0,-11.5625,0.0,thing
18,11.5625,0.0,-11.5625,0.0,thing
19,13.3125,0.0,-13.3125,0.0,thing
20,13.5,0.0,-13.5,0.0,thing
21,13.25,0.0,-13.25,0.0,thing
22,13.3125,0.0,-13.3125,0.0,thing
23,13.3125,0.0,-13.3125,0.0,thing
24,13.3125,0.0,-13.3125,0.0,thing
25,13.25,0.0,-13.25,0.0,thing
26,13.25,0.0,-13.25,0.0,thing
27,13.25,0.0,-13.25,0.0,thing
28,13.25,0.0,-13.25,0.0,thing
29,14.875,0.0,-14.875,0.0,thing
30,13.3125,0.0,-13.3125,0.0,thing
31,14.875,0.0,-14.875,0.0,thing
32,13.5,0.0,-13.5,0.0,thing
33,13.3125,0.0,-13.3125,0.0,thing
34,13.25,0.0,-13.25,0.0,thing
35,13.25,0.0,-13.25,0.0,thing
36,13.25,0.0,-13.25,0.0,thing
37,14.875,0.0,-14.875,0.0,thing
38,13.25,0.0,-13.25,0.0,thing
39,13.3125,0.0,-13.3125,0.0,thing
40,11.5625,0.0,-11.5625,0.0,thing
41,13.3125,0.0,-13.3125,0.0,thing
42,13.5,0.0,-13.5,0.0,thing
43,13.3125,0.0,-13.3125,0.0,thing
44,13.25,0.0,-13.25,0.0,thing
45,13.3125,0.0,-13.3125,0.0,thing
46,13.3125,0.0,-13.3125,0.0,thing
47,14.875,0.0,-14.875,0.0,thing
48,11.5625,0.0,-11.5625,0.0,thing
49,13.3125,0.0,-13.3125,0.0,thing
50,13.5,0.0,-13.5,0.0,thing
51,13.3125,0.0,-13.3125,0.0,thing
52,11.5625,0.0,-11.5625,0.0,thing
53,11.5625,0.0,-11.5625,0.0,thing
54,11.5625,0.0,-11.5625,0.0,thing
55,11.5625,0.0,-11.5625,0.0,thing
56,11.5625,0.0,-11.5625,0.0,thing
57,14.875,0.0,-14.875,0.0,thing
58,11.5625,0.0,-11.5625,0.0,thing
59,14.875,0.0,-14.875,0.0,thing
60,13.3125,0.0,-13.3125,0.0,thing
61,13.3125,0.0,-13.3125,0.0,thing
62,14.875,0.0,-14.875,0.0,thing
63,13.25,0.0,-13.25,0.0,thing
64,11.5625,0.0,-11.5625,0.0,thing
65,11.5625,0.0,-11.5625,0.0,thing
66,13.3125,0.0,-13.3125,0.0,thing
67,14.875,0.0,-14.875,0.0,thing
68,11.5625,0.0,-11.5625,0.0,thing
69,13.3125,0.0,-13.3125,0.0,thing
70,11.5625,0.0,-11.5625,0.0,thing
71,14.875,0.0,-14.875,0.0,thing
72,13.25,0.0,-13.25,0.0,thing
73,13.5,0.0,-13.5,0.0,thing
74,13.3125,0.0,-13.3125,0.0,thing
75,13.3125,0.0,-13.3125,0.0,thing
76,13.5,0.0,-13.5,0.0,thing
77,13.5,0.0,-13.5,0.0,thing
78,13.3125,0.0,-13.3125,0.0,thing
79,13.25,0.0,-13.25,0.0,thing
80,13.3125,0.0,-13.3125,0.0,thing
81,13.5,0.0,-13.5,0.0,thing
82,11.5625,0.0,-11.5625,0.0,thing
83,14.875,0.0,-14.875,0.0,thing
84,11.5625,0.0,-11.5625,0.0,thing
85,13.25,0.0,-13.25,0.0,thing
86,13.3125,0.0,-13.3125,0.0,thing
87,13.3125,0.0,-13.3125,0.0,thing
88,14.875,0.0,-14.875,0.0,thing
89,11.5625,0.0,-11.5625,0.0,thing
90,14.875,0.0,-14.875,0.0,thing
91,13.25,0.0,-13.25,0.0,thing
92,11.5625,0.0,-11.5625,0.0,thing
93,11.5625,0.0,-11.5625,0.0,thing
94,13.25,0.0,-13.25,0.0,thing
95,13.3125,0.0,-13.3125,0.0,thing
96,13.3125,0.0,-13.3125,0.0,thing
97,13.5,0.0,-13.5,0.0,thing
98,13.3125,0.0,-13.3125,0.0,thing
99,14.875,0.0,-14.875,0.0,thing
100,13.25,0.0,-13.25,0.0,thing
101,13.3125,0.0,-13.3125,0.0,thing
102,11.5625,0.0,-11.5625,0.0,thing
103,13.25,0.0,-13.25,0.0,thing
104,13.3125,0.0,-13.3125,0.0,thing
105,14.875,0.0,-14.875,0.0,thing
106,13.5,0.0,-13.5,0.0,thing
107,13.5,0.0,-13.5,0.0,thing
108,13.25,0.0,-13.25,0.0,thing
109,14.875,0.0,-14.875,0.0,thing
110,14.875,0.0,-14.875,0.0,thing
111,14.875,0.0,-14.875,0.0,thing
112,13.3125,0.0,-13.3125,0.0,thing
113,13.5,0.0,-13.5,0.0,thing
114,14.875,0.0,-14.875,0.0,thing
115,11.5625,0.0,-11.5625,0.0,thing
116,13.3125,0.0,-13.3125,0.0,thing
117,11.5625,0.0,-11.5625,0.0,thing
118,11.5625,0.0,-11.5625,0.0,thing
119,13.25,0.0,-13.25,0.0,thing
120,13.3125,0.0,-13.3125,0.0,thing
121,11.5625,0.0,-11.5625,0.0,thing
122,13.3125,0.0,-13.3125,0.0,thing
123,14.875,0.0,-14.875,0.0,thing
124,13.25,0.0,-13.25,0.0,thing
125,13.5,0.0,-13.5,0.0,thing
126,11.5625,0.0,-11.5625,0.0,thing
127,13.25,0.0,-13.25,0.0,thing
128,13.25,0.0,-13.25,0.0,thing
129,13.25,0.0,-13.25,0.0,thing
130,13.25,0.0,-13.25,0.0,thing
131,14.875,0.0,-14.875,0.0,thing
132,13.3125,0.0,-13.3125,0.0,thing
133,13.5,0.0,-13.5,0.0,thing
134,13.5,0.0,-13.5,0.0,thing
135,13.3125,0.0,-13.3125,0.0,thing
136,13.5,0.0,-13.5,0.0,thing
137,13.25,0.0,-13.25,0.0,thing
138,14.875,0.0,-14.875,0.0,thing
139,13.25,0.0,-13.25,0.0,thing
140,13.25,0.0,-13.25,0.0,thing
141,14.875,0.0,-14.875,0.0,thing
142,11.5625,0.0,-11.5625,0.0,thing
143,13.5,0.0,-13.5,0.0,thing
144,14.875,0.0,-14.875,0.0,thing
145,13.3125,0.0,-13.3125,0.0,thing
146,13.3125,0.0,-13.3125,0.0,thing
147,13.3125,0.0,-13.3125,0.0,thing
148,11.5625,0.0,-11.5625,0.0,thing
149,14.875,0.0,-14.875,0.0,thing
150,11.5625,0.0,-11.5625,0.0,thing
151,13.3125,0.0,-13.3125,0.0,thing
152,13.25,0.0,-13.25,0.0,thing
153,13.25,0.0,-13.25,0.0,thing
154,11.5625,0.0,-11.5625,0.0,thing
155,13.3125,0.0,-13.3125,0.0,thing
156,13.3125,0.0,-13.3125,0.0,thing
157,13.3125,0.0,-13.3125,0.0,thing
158,13.3125,0.0,-13.3125,0.0,thing
159,14.875,0.0,-14.875,0.0,thing
160,11.5625,0.0,-11.5625,0.0,thing
161,11.5625,0.0,-11.5625,0.0,thing
162,14.875,0.0,-14.875,0.0,thing
163,13.25,0.0,-13.25,0.0,thing
164,11.5625,0.0,-11.5625,0.0,thing
165,13.5,0.0,-13.5,0.0,thing
166,11.5625,0.0,-11.5625,0.0,thing
167,11.5625,0.0,-11.5625,0.0,thing
168,13.25,0.0,-13.25,0.0,thing
169,14.875,0.0,-14.875,0.0,thing
170,13.25,0.0,-13.25,0.0,thing
171,13.25,0.0,-13.25,0.0,thing
172,14.875,0.0,-14.875,0.0,thing
173,13.5,0.0,-13.5,0.0,thing
174,14.875,0.0,-14.875,0.0,thing
175,13.25,0.0,-13.25,0.0,thing
176,14.875,0.0,-14.875,0.0,thing
177,11.5625,0.0,-11.5625,0.0,thing
178,11.5625,0.0,-11.5625,0.0,thing
179,13.5,0.0,-13.5,0.0,thing
180,13.5,0.0,-13.5,0.0,thing
181,14.875,0.0,-14.875,0.0,thing
182,14.875,0.0,-14.875,0.0,thing
183,14.875,0.0,-14.875,0.0,thing
184,13.3125,0.0,-13.3125,0.0,thing
185,13.25,0.0,-13.25,0.0,thing
186,13.25,0.0,-13.25,0.0,thing
187,13.5,0.0,-13.5,0.0,thing
188,11.5625,0.0,-11.5625,0.0,thing
189,11.5625,0.0,-11.5625,0.0,thing
190,11.5625,0.0,-11.5625,0.0,thing
191,11.5625,0.0,-11.5625,0.0,thing
192,13.25,0.0,-13.25,0.0,thing
193,13.3125,0.0,-13.3125,0.0,thing
194,11.5625,0.0,-11.5625,0.0,thing
195,13.5,0.0,-13.5,0.0,thing
196,14.875,0.0,-14.875,0.0,thing
197,14.875,0.0,-14.875,0.0,thing
198,13.5,0.0,-13.5,0.0,thing
199,13.5,0.0,-13.5,0.0,thing
200,13.5,0.0,-13.5,0.0,thing
201,13.3125,0.0,-13.3125,0.0,thing
202,14.875,0.0,-14.875,0.0,thing
203,13.3125,0.0,-13.3125,0.0,thing
204,11.5625,0.0,-11.5625,0.0,thing
205,14.875,0.0,-14.875,0.0,thing
206,13.5,0.0,-13.5,0.0,thing
207,13.3125,0.0,-13.3125,0.0,thing
208,13.25,0.0,-13.25,0.0,thing
209,14.875,0.0,-14.875,0.0,thing
210,13.5,0.0,-13.5,0.0,thing
211,13.5,0.0,-13.5,0.0,thing
212,11.5625,0.0,-11.5625,0.0,thing
213,13.3125,0.0,-13.3125,0.0,thing
214,11.5625,0.0,-11.5625,0.0,thing
215,13.25,0.0,-13.25,0.0,thing
216,13.25,0.0,-13.25,0.0,thing
217,11.5625,0.0,-11.5625,0.0,thing
218,14.875,0.0,-14.875,0.0,thing
219,14.875,0.0,-14.875,0.0,thing
220,11.5625,0.0,-11.5625,0.0,thing
221,11.5625,0.0,-11.5625,0.0,thing
222,14.875,0.0,-14.875,0.0,thing
223,13.3125,0.0,-13.3125,0.0,thing
224,11.5625,0.0,-11.5625,0.0,thing
225,13.5,0.0,-13.5,0.0,thing
226,13.3125,0.0,-13.3125,0.0,thing
227,11.5625,0.0,-11.5625,0.0,thing
228,13.5,0.0,-13.5,0.0,thing
229,13.5,0.0,-13.5,0.0,thing
230,11.5625,0.0,-11.5625,0.0,thing
231,11.5625,0.0,-11.5625,0.0,thing
232,11.5625,0.0,-11.5625,0.0,thing
233,13.5,0.0,-13.5,0.0,thing
234,13.25,0.0,-13.25,0.0,thing
235,11.5625,0.0,-11.5625,0.0,thing
236,11.5625,0.0,-11.5625,0.0,thing
237,13.3125,0.0,-13.3125,0.0,thing
238,11.5625,0.0,-11.5625,0.0,thing
239,13.3125,0.0,-13.3125,0.0,thing
240,13.3125,0.0,-13.3125,0.0,thing
241,13.25,0.0,-13.25,0.0,thing
242,11.5625,0.0,-11.5625,0.0,thing
243,13.25,0.0,-13.25,0.0,thing
244,13.5,0.0,-13.5,0.0,thing
245,13.25,0.0,-13.25,0.0,thing
246,14.875,0.0,-14.875,0.0,thing
247,14.875,0.0,-14.875,0.0,thing
248,14.875,0.0,-14.875,0.0,thing
249,13.3125,0.0,-13.3125,0.0,thing
250,14.875,0.0,-14.875,0.0,thing
251,13.25,0.0,-13.25,0.0,thing
252,11.5625,0.0,-11.5625,0.0,thing
253,13.3125,0.0,-13.3125,0.0,thing
254,13.3125,0.0,-13.3125,0.0,thing
255,14.875,0.0,-14.875,0.0,thing
256,13.5,0.0,-13.5,0.0,thing
257,13.5,0.0,-13.5,0.0,thing
258,11.5625,0.0,-11.5625,0.0,thing
259,13.25,0.0,-13.25,0.0,thing
260,14.875,0.0,-14.875,0.0,thing
261,13.25,0.0,-13.25,0.0,thing
262,13.5,0.0,-13.5,0.0,thing
263,13.5,0.0,-13.5,0.0,thing
264,14.875,0.0,-14.875,0.0,thing
265,13.5,0.0,-13.5,0.0,thing
266,13.5,0.0,-13.5,0.0,thing
267,11.5625,0.0,-11.5625,0.0,thing
268,11.5625,0.0,-11.5625,0.0,thing
269,13.5,0.0,-13.5,0.0,thing
270,14.875,0.0,-14.875,0.0,thing
271,14.875,0.0,-14.875,0.0,thing
272,13.5,0.0,-13.5,0.0,thing
273,13.5,0.0,-13.5,0.0,thing
274,13.3125,0.0,-13.3125,0.0,thing
275,11.5625,0.0,-11.5625,0.0,thing
276,11.5625,0.0,-11.5625,0.0,thing
277,14.875,0.0,-14.875,0.0,thing
278,13.25,0.0,-13.25,0.0,thing
279,13.25,0.0,-13.25,0.0,thing
280,13.5,0.0,-13.5,0.0,thing
281,13.5,0.0,-13.5,0.0,thing
282,13.3125,0.0,-13.3125,0.0,thing
283,13.3125,0.0,-13.3125,0.0,thing
284,14.875,0.0,-14.875,0.0,thing
285,13.25,0.0,-13.25,0.0,thing
286,13.3125,0.0,-13.3125,0.0,thing
287,13.25,0.0,-13.25,0.0,thing
288,13.3125,0.0,-13.3125,0.0,thing
289,11.5625,0.0,-11.5625,0.0,thing
290,13.5,0.0,-13.5,0.0,thing
291,13.3125,0.0,-13.3125,0.0,thing
292,13.3125,0.0,-13.3125,0.0,thing
293,14.875,0.0,-14.875,0.0,thing
294,11.5625,0.0,-11.5625,0.0,thing
295,13.5,0.0,-13.5,0.0,thing
296,11.5625,0.0,-11.5625,0.0,thing
297,13.5,0.0,-13.5,0.0,thing
298,11.5625,0.0,-11.5625,0.0,thing
299,11.5625,0.0,-11.5625,0.0,thing
300,14.875,0.0,-14.875,0.0,thing
301,13.25,0.0,-13.25,0.0,thing
302,11.5625,0.0,-11.5625,0.0,thing
303,13.5,0.0,-13.5,0.0,thing
304,13.5,0.0,-13.5,0.0,thing
305,14.875,0.0,-14.875,0.0,thing
306,13.25,0.0,-13.25,0.0,thing
307,13.5,0.0,-13.5,0.0,thing
308,14.875,0.0,-14.875,0.0,thing
309,13.5,0.0,-13.5,0.0,thing
310,13.3125,0.0,-13.3125,0.0,thing
311,11.5625,0.0,-11.5625,0.0,thing
312,13.25,0.0,-13.25,0.0,thing
313,11.5625,0.0,-11.5625,0.0,thing
314,11.5625,0.0,-11.5625,0.0,thing
315,13.3125,0.0,-13.3125,0.0,thing
316,13.25,0.0,-13.25,0.0,thing
317,11.5625,0.0,-11.5625,0.0,thing
318,14.875,0.0,-14.875,0.0,thing
319,13.5,0.0,-13.5,0.0,thing
320,13.5,0.0,-13.5,0.0,thing
321,14.875,0.0,-14.875,0.0,thing
322,13.5,0.0,-13.5,0.0,thing
323,13.3125,0.0,-13.3125,0.0,thing
324,14.875,0.0,-14.875,0.0,thing
325,13.3125,0.0,-13.3125,0.0,thing
326,13.25,0.0,-13.25,0.0,thing
327,13.5,0.0,-13.5,0.0,thing
328,13.3125,0.0,-13.3125,0.0,thing
329,13.5,0.0,-13.5,0.0,thing
330,13.25,0.0,-13.25,0.0,thing
331,11.5625,0.0,-11.5625,0.0,thing
332,13.5,0.0,-13.5,0.0,thing
333,13.25,0.0,-13.25,0.0,thing
334,14.875,0.0,-14.875,0.0,thing
335,13.5,0.0,-13.5,0.0,thing
336,14.875,0.0,-14.875,0.0,thing
337,13.25,0.0,-13.25,0.0,thing
338,14.875,0.0,-14.875,0.0,thing
339,13.3125,0.0,-13.3125,0.0,thing
340,11.5625,0.0,-11.5625,0.0,thing
341,14.875,0.0,-14.875,0.0,thing
342,13.3125,0.0,-13.3125,0.0,thing
343,11.5625,0.0,-11.5625,0.0,thing
344,13.25,0.0,-13.25,0.0,thing
345,13.25,0.0,-13.25,0.0,thing
346,13.5,0.0,-13.5,0.0,thing
347,13.3125,0.0,-13.3125,0.0,thing
348,11.5625,0.0,-11.5625,0.0,thing
349,13.5,0.0,-13.5,0.0,thing
350,13.5,0.0,-13.5,0.0,thing
351,13.25,0.0,-13.25,0.0,thing
352,14.875,0.0,-14.875,0.0,thing
353,11.5625,0.0,-11.5625,0.0,thing
354,13.25,0.0,-13.25,0.0,thing
355,13.25,0.0,-13.25,0.0,thing
